image_id,theme,prompt_tr,prompt_en
CHRD_REAL_0137,Local Architecture,"Local Architecture temalı, Ürgüp bölgesinde, Ballon içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Ürgüp, featuring Ballon and Street representing Cappadocia cultural heritage."
CHRD_REAL_0138,Village Square,"Village Square temalı, Ürgüp bölgesinde, Street içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Ürgüp, featuring Street and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0139,Local Architecture,"Local Architecture temalı, Mustafapaşa bölgesinde, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Mustafapaşa, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0140,Local Architecture,"Local Architecture temalı, cave hotel içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring cave hotel and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0141,Natural Landscape,"Natural Landscape temalı, Fairy Chimney içeren, Valley bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring Fairy Chimney and Valley representing Cappadocia cultural heritage."
CHRD_REAL_0142,Local Architecture,"Local Architecture temalı, cave house içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring cave house representing Cappadocia cultural heritage."
CHRD_REAL_0143,Natural Landscape,"Natural Landscape temalı, Sunrise içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring Sunrise and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0144,Daily Life,"Daily Life temalı, Street içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Street and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0145,Local Architecture,"Local Architecture temalı, Museum içeren, carpet bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Museum and carpet representing Cappadocia cultural heritage."
CHRD_REAL_0146,Local Architecture,"Local Architecture temalı, landscape içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring landscape representing Cappadocia cultural heritage."
CHRD_REAL_0147,Local Architecture,"Local Architecture temalı, Museum içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Museum representing Cappadocia cultural heritage."
CHRD_REAL_0148,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, cave house bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and cave house representing Cappadocia cultural heritage."
CHRD_REAL_0149,Natural Landscape,"Natural Landscape temalı, Rock Formation içeren, trees bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring Rock Formation and trees representing Cappadocia cultural heritage."
CHRD_REAL_0150,Daily Life,"Daily Life temalı, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0151,Natural Landscape,"Natural Landscape temalı, landscape içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring landscape and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0152,Natural Landscape,"Natural Landscape temalı, landscape içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring landscape and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0153,Natural Landscape,"Natural Landscape temalı, Rock Formation içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0154,Local Architecture,"Local Architecture temalı, Museum içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Museum representing Cappadocia cultural heritage."
CHRD_REAL_0155,Local Architecture,"Local Architecture temalı, cave house içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring cave house and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0156,Local Architecture,"Local Architecture temalı, cave house içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring cave house and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0157,Local Architecture,"Local Architecture temalı, Museum içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Museum representing Cappadocia cultural heritage."
CHRD_REAL_0158,Local Architecture,"Local Architecture temalı, Museum içeren, Pottery bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Museum and Pottery representing Cappadocia cultural heritage."
CHRD_REAL_0159,Local Architecture,"Local Architecture temalı, Museum içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Museum representing Cappadocia cultural heritage."
CHRD_REAL_0160,Daily Life,"Daily Life temalı, Museum içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Museum representing Cappadocia cultural heritage."
CHRD_REAL_0161,Local Architecture,"Local Architecture temalı, Museum içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Museum representing Cappadocia cultural heritage."
CHRD_REAL_0162,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, cave house bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and cave house representing Cappadocia cultural heritage."
CHRD_REAL_0163,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, cave house bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and cave house representing Cappadocia cultural heritage."
CHRD_REAL_0164,Daily Life,"Daily Life temalı, Fairy Chimney içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Fairy Chimney and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0165,Local Architecture,"Local Architecture temalı, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0166,Local Architecture,"Local Architecture temalı, Rock Formation içeren, cave house bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Rock Formation and cave house representing Cappadocia cultural heritage."
CHRD_REAL_0168,Natural Landscape,"Natural Landscape temalı, Valley içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring Valley and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0170,Fairy Chimney,"Fairy Chimney temalı, Rock Formation içeren, cave house bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney, featuring Rock Formation and cave house representing Cappadocia cultural heritage."
CHRD_REAL_0171,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, Fairy Chimney bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and Fairy Chimney representing Cappadocia cultural heritage."
CHRD_REAL_0172,Daily Life,"Daily Life temalı, Street içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Street and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0173,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0174,Rock-cut Heritage,"Rock-cut Heritage temalı, cave house içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring cave house and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0175,Natural Landscape,"Natural Landscape temalı, Fairy Chimney içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring Fairy Chimney and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0176,Rock-cut Heritage,"Rock-cut Heritage temalı, cave house içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring cave house and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0177,Village Square,"Village Square temalı, Stone House içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square, featuring Stone House and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0178,Local Architecture,"Local Architecture temalı, Rock Formation içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Rock Formation and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0179,Natural Landscape,"Natural Landscape temalı, rock Formation içeren, Valley bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring rock Formation and Valley representing Cappadocia cultural heritage."
CHRD_REAL_0180,Daily Life,"Daily Life temalı, Rock Formation içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Rock Formation and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0181,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, cave house bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and cave house representing Cappadocia cultural heritage."
CHRD_REAL_0182,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, Fairy Chimney bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and Fairy Chimney representing Cappadocia cultural heritage."
CHRD_REAL_0183,Local Architecture,"Local Architecture temalı, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0184,Local Architecture,"Local Architecture temalı, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0185,Natural Landscape,"Natural Landscape temalı, Rock Formation içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0186,Local Architecture,"Local Architecture temalı, Stone House içeren, Fairy Chimney bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Stone House and Fairy Chimney representing Cappadocia cultural heritage."
CHRD_REAL_0187,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, Fairy Chimney bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and Fairy Chimney representing Cappadocia cultural heritage."
CHRD_REAL_0188,Rock-cut Heritage,"Rock-cut Heritage temalı, cave house içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring cave house and Museum representing Cappadocia cultural heritage."
